x,y,z,n1,n2,n3
0.0,1.0,0.0,0.9,-0.3,0.3
0.0,1.2,0.2,0.9,-0.3,0.3
0.2,1.6,0.0,0.9,-0.3,0.3
0.0,1.2,0.2,-0.12,0.49,0.86
0.2,1.6,0.0,-0.12,0.49,0.86
0.2,1.25,0.2,-0.12,0.49,0.86
0.0,1.2,0.2,0.11,-0.44,-0.89
0.0,0.8,0.4,0.11,-0.44,-0.89
0.2,1.25,0.2,0.11,-0.44,-0.89
0.0,0.8,0.4,-0.81,0.5,0.31
0.2,1.25,0.2,-0.81,0.5,0.31
0.2,1.125,0.4,-0.81,0.5,0.31
0.0,0.8,0.4,0.59,-0.36,0.72
0.0,1.2,0.6000000000000001,0.59,-0.36,0.72
0.2,1.125,0.4,0.59,-0.36,0.72
0.0,1.2,0.6000000000000001,-0.64,0.23,-0.73
0.2,1.125,0.4,-0.64,0.23,-0.73
0.2,1.75,0.6000000000000001,-0.64,0.23,-0.73
0.0,1.2,0.6000000000000001,0.89,-0.32,-0.32
0.0,1.0,0.8,0.89,-0.32,-0.32
0.2,1.75,0.6000000000000001,0.89,-0.32,-0.32
0.0,1.0,0.8,-0.97,0.26,0.0
0.2,1.75,0.6000000000000001,-0.97,0.26,0.0
0.2,1.75,0.8,-0.97,0.26,0.0
0.0,1.0,0.8,0.76,-0.2,0.61
0.0,1.6,1.0,0.76,-0.2,0.61
0.2,1.75,0.8,0.76,-0.2,0.61
0.0,1.6,1.0,-0.78,0.39,-0.49
0.2,1.75,0.8,-0.78,0.39,-0.49
0.2,2.0,1.0,-0.78,0.39,-0.49
0.0,1.6,1.0,0.53,-0.27,0.8
0.0,2.2,1.2000000000000002,0.53,-0.27,0.8
0.2,2.0,1.0,0.53,-0.27,0.8
0.0,2.2,1.2000000000000002,0.81,0.5,0.31
0.2,2.0,1.0,0.81,0.5,0.31
0.2,1.875,1.2000000000000002,0.81,0.5,0.31
0.0,2.2,1.2000000000000002,-0.46,-0.28,-0.84
0.0,1.6,1.4000000000000001,-0.46,-0.28,-0.84
0.2,1.875,1.2000000000000002,-0.46,-0.28,-0.84
0.0,1.6,1.4000000000000001,-0.54,0.72,0.45
0.2,1.875,1.2000000000000002,-0.54,0.72,0.45
0.2,1.75,1.4000000000000001,-0.54,0.72,0.45
0.0,1.6,1.4000000000000001,0.32,-0.42,0.85
0.0,2.0,1.6,0.32,-0.42,0.85
0.2,1.75,1.4000000000000001,0.32,-0.42,0.85
0.0,2.0,1.6,-0.28,0.45,-0.85
0.2,1.75,1.4000000000000001,-0.28,0.45,-0.85
0.2,2.125,1.6,-0.28,0.45,-0.85
0.0,2.0,1.6,0.15,-0.24,-0.96
0.0,1.2,1.8,0.15,-0.24,-0.96
0.2,2.125,1.6,0.15,-0.24,-0.96
0.0,1.2,1.8,0.07,0.2,0.98
0.2,2.125,1.6,0.07,0.2,0.98
0.2,1.125,1.8,0.07,0.2,0.98
0.0,1.2,1.8,-0.12,-0.31,0.94
0.0,1.8,2.0,-0.12,-0.31,0.94
0.2,1.125,1.8,-0.12,-0.31,0.94
0.0,1.8,2.0,0.96,0.28,-0.0
0.2,1.125,1.8,0.96,0.28,-0.0
0.2,1.125,2.0,0.96,0.28,-0.0
0.0,1.8,2.0,-0.55,-0.16,-0.82
0.0,0.8,2.2,-0.55,-0.16,-0.82
0.2,1.125,2.0,-0.55,-0.16,-0.82
0.0,0.8,2.2,0.31,0.35,0.88
0.2,1.125,2.0,0.31,0.35,0.88
0.2,0.625,2.2,0.31,0.35,0.88
0.0,0.8,2.2,-0.53,-0.6,0.6
0.0,1.0,2.4000000000000004,-0.53,-0.6,0.6
0.2,0.625,2.2,-0.53,-0.6,0.6
0.0,1.0,2.4000000000000004,-0.44,0.23,-0.87
0.2,0.625,2.2,-0.44,0.23,-0.87
0.2,1.375,2.4000000000000004,-0.44,0.23,-0.87
0.0,1.0,2.4000000000000004,0.51,-0.27,0.82
0.0,1.6,2.6,0.51,-0.27,0.82
0.2,1.375,2.4000000000000004,0.51,-0.27,0.82
0.0,1.6,2.6,-0.45,0.33,-0.83
0.2,1.375,2.4000000000000004,-0.45,0.33,-0.83
0.2,1.875,2.6,-0.45,0.33,-0.83
0.0,1.6,2.6,0.7,-0.51,0.51
0.0,1.8,2.8000000000000003,0.7,-0.51,0.51
0.2,1.875,2.6,0.7,-0.51,0.51
0.0,1.8,2.8000000000000003,-0.65,0.65,-0.4
0.2,1.875,2.6,-0.65,0.65,-0.4
0.2,2.0,2.8000000000000003,-0.65,0.65,-0.4
0.0,1.8,2.8000000000000003,0.71,-0.71,0.0
0.0,1.8,3.0,0.71,-0.71,0.0
0.2,2.0,2.8000000000000003,0.71,-0.71,0.0
0.0,1.8,3.0,0.49,0.32,0.81
0.2,2.0,2.8000000000000003,0.49,0.32,0.81
0.2,1.5,3.0,0.49,0.32,0.81
0.0,1.8,3.0,-0.56,-0.37,-0.74
0.0,1.4,3.2,-0.56,-0.37,-0.74
0.2,1.5,3.0,-0.56,-0.37,-0.74
0.0,1.4,3.2,0.42,0.57,0.71
0.2,1.5,3.0,0.42,0.57,0.71
0.2,1.25,3.2,0.42,0.57,0.71
0.0,1.4,3.2,-0.47,-0.62,0.62
0.0,1.6,3.4000000000000004,-0.47,-0.62,0.62
0.2,1.25,3.2,-0.47,-0.62,0.62
0.0,1.6,3.4000000000000004,0.3,0.6,-0.75
0.2,1.25,3.2,0.3,0.6,-0.75
0.2,1.5,3.4000000000000004,0.3,0.6,-0.75
0.0,1.6,3.4000000000000004,-0.33,-0.67,0.67
0.0,1.8,3.6,-0.33,-0.67,0.67
0.2,1.5,3.4000000000000004,-0.33,-0.67,0.67
0.0,1.8,3.6,0.15,0.62,-0.77
0.2,1.5,3.4000000000000004,0.15,0.62,-0.77
0.2,1.75,3.6,0.15,0.62,-0.77
0.0,1.8,3.6,-0.08,-0.32,0.95
0.0,2.4,3.8000000000000003,-0.08,-0.32,0.95
0.2,1.75,3.6,-0.08,-0.32,0.95
0.0,2.4,3.8000000000000003,0.91,0.35,-0.22
0.2,1.75,3.6,0.91,0.35,-0.22
0.2,1.875,3.8000000000000003,0.91,0.35,-0.22
0.0,2.4,3.8000000000000003,-0.54,-0.2,-0.82
0.0,1.6,4.0,-0.54,-0.2,-0.82
0.2,1.875,3.8000000000000003,-0.54,-0.2,-0.82
0.0,1.6,4.0,-0.85,0.33,-0.41
0.2,1.875,3.8000000000000003,-0.85,0.33,-0.41
0.2,2.125,4.0,-0.85,0.33,-0.41
0.0,1.6,4.0,0.93,-0.36,0.0
0.0,1.6,4.2,0.93,-0.36,0.0
0.2,2.125,4.0,0.93,-0.36,0.0
0.0,1.6,4.2,-0.05,0.37,0.93
0.2,2.125,4.0,-0.05,0.37,0.93
0.2,1.625,4.2,-0.05,0.37,0.93
0.0,1.6,4.2,0.09,-0.7,0.7
0.0,1.8,4.4,0.09,-0.7,0.7
0.2,1.625,4.2,0.09,-0.7,0.7
0.0,1.8,4.4,-0.23,0.61,-0.76
0.2,1.625,4.2,-0.23,0.61,-0.76
0.2,1.875,4.4,-0.23,0.61,-0.76
0.0,1.8,4.4,0.09,-0.24,-0.97
0.0,1.0,4.6000000000000005,0.09,-0.24,-0.97
0.2,1.875,4.4,0.09,-0.24,-0.97
0.0,1.0,4.6000000000000005,-0.76,0.3,0.57
0.2,1.875,4.4,-0.76,0.3,0.57
0.2,1.5,4.6000000000000005,-0.76,0.3,0.57
0.0,1.0,4.6000000000000005,0.75,-0.3,0.6
0.0,1.4,4.800000000000001,0.75,-0.3,0.6
0.2,1.5,4.6000000000000005,0.75,-0.3,0.6
0.0,1.4,4.800000000000001,-0.69,0.61,-0.38
0.2,1.5,4.6000000000000005,-0.69,0.61,-0.38
0.2,1.625,4.800000000000001,-0.69,0.61,-0.38
0.0,1.4,4.800000000000001,0.45,-0.4,0.8
0.0,1.8,5.0,0.45,-0.4,0.8
0.2,1.625,4.800000000000001,0.45,-0.4,0.8
0.0,1.8,5.0,-0.23,0.61,-0.76
0.2,1.625,4.800000000000001,-0.23,0.61,-0.76
0.2,1.875,5.0,-0.23,0.61,-0.76
0.0,1.8,5.0,0.35,-0.94,0.0
0.0,1.8,5.2,0.35,-0.94,0.0
0.2,1.875,5.0,0.35,-0.94,0.0
0.0,1.8,5.2,0.48,0.55,0.69
0.2,1.875,5.0,0.48,0.55,0.69
0.2,1.625,5.2,0.48,0.55,0.69
0.0,1.8,5.2,-0.53,-0.6,0.6
0.0,2.0,5.4,-0.53,-0.6,0.6
0.2,1.625,5.2,-0.53,-0.6,0.6
