x,y,z,n1,n2,n3
0.0,1.25,0.0,-0.53,-0.42,0.74
0.0,1.6,0.2,-0.53,-0.42,0.74
0.2,1.0,0.0,-0.53,-0.42,0.74
0.0,1.6,0.2,0.47,0.42,-0.78
0.2,1.0,0.0,0.47,0.42,-0.78
0.2,1.375,0.2,0.47,0.42,-0.78
0.0,1.6,0.2,-0.45,-0.4,0.8
0.0,2.0,0.4,-0.45,-0.4,0.8
0.2,1.375,0.2,-0.45,-0.4,0.8
0.0,2.0,0.4,0.95,0.25,0.16
0.2,1.375,0.2,0.95,0.25,0.16
0.2,1.25,0.4,0.95,0.25,0.16
0.0,2.0,0.4,-0.76,-0.2,-0.61
0.0,1.4,0.6000000000000001,-0.76,-0.2,-0.61
0.2,1.25,0.4,-0.76,-0.2,-0.61
0.0,1.4,0.6000000000000001,0.6,0.8,-0.0
0.2,1.25,0.4,0.6,0.8,-0.0
0.2,1.25,0.6000000000000001,0.6,0.8,-0.0
0.0,1.4,0.6000000000000001,-0.47,-0.62,0.62
0.0,1.6,0.8,-0.47,-0.62,0.62
0.2,1.25,0.6000000000000001,-0.47,-0.62,0.62
0.0,1.6,0.8,0.88,0.29,0.37
0.2,1.25,0.6000000000000001,0.88,0.29,0.37
0.2,1.0,0.8,0.88,0.29,0.37
0.0,1.6,0.8,-0.59,-0.2,-0.78
0.0,0.8,1.0,-0.59,-0.2,-0.78
0.2,1.0,0.8,-0.59,-0.2,-0.78
0.0,0.8,1.0,-0.3,0.81,0.51
0.2,1.0,0.8,-0.3,0.81,0.51
0.2,0.875,1.0,-0.3,0.81,0.51
0.0,0.8,1.0,0.17,-0.44,0.88
0.0,1.2,1.2000000000000002,0.17,-0.44,0.88
0.2,0.875,1.0,0.17,-0.44,0.88
0.0,1.2,1.2000000000000002,-0.12,0.47,-0.88
0.2,0.875,1.0,-0.12,0.47,-0.88
0.2,1.25,1.2000000000000002,-0.12,0.47,-0.88
0.0,1.2,1.2000000000000002,0.11,-0.44,0.89
0.0,1.6,1.4000000000000001,0.11,-0.44,0.89
0.2,1.25,1.2000000000000002,0.11,-0.44,0.89
0.0,1.6,1.4000000000000001,0.3,0.6,-0.75
0.2,1.25,1.2000000000000002,0.3,0.6,-0.75
0.2,1.5,1.4000000000000001,0.3,0.6,-0.75
0.0,1.6,1.4000000000000001,-0.33,-0.67,0.67
0.0,1.8,1.6,-0.33,-0.67,0.67
0.2,1.5,1.4000000000000001,-0.33,-0.67,0.67
0.0,1.8,1.6,0.87,0.41,0.26
0.2,1.5,1.4000000000000001,0.87,0.41,0.26
0.2,1.375,1.6,0.87,0.41,0.26
0.0,1.8,1.6,-0.69,-0.32,-0.65
0.0,1.4,1.8,-0.69,-0.32,-0.65
0.2,1.375,1.6,-0.69,-0.32,-0.65
0.0,1.4,1.8,-0.57,0.51,-0.64
0.2,1.375,1.6,-0.57,0.51,-0.64
0.2,1.625,1.8,-0.57,0.51,-0.64
0.0,1.4,1.8,0.75,-0.66,0.0
0.0,1.4,2.0,0.75,-0.66,0.0
0.2,1.625,1.8,0.75,-0.66,0.0
0.0,1.4,2.0,0.08,0.62,0.78
0.2,1.625,1.8,0.08,0.62,0.78
0.2,1.375,2.0,0.08,0.62,0.78
0.0,1.4,2.0,-0.06,-0.45,0.89
0.0,1.8,2.2,-0.06,-0.45,0.89
0.2,1.375,2.0,-0.06,-0.45,0.89
0.0,1.8,2.2,0.48,0.55,-0.69
0.2,1.375,2.0,0.48,0.55,-0.69
0.2,1.625,2.2,0.48,0.55,-0.69
0.0,1.8,2.2,-0.21,-0.24,-0.95
0.0,1.0,2.4000000000000004,-0.21,-0.24,-0.95
0.2,1.625,2.2,-0.21,-0.24,-0.95
0.0,1.0,2.4000000000000004,-0.95,0.3,0.0
0.2,1.625,2.2,-0.95,0.3,0.0
0.2,1.625,2.4000000000000004,-0.95,0.3,0.0
0.0,1.0,2.4000000000000004,0.91,-0.29,0.29
0.0,1.2,2.6,0.91,-0.29,0.29
0.2,1.625,2.4000000000000004,0.91,-0.29,0.29
0.0,1.2,2.6,-0.88,0.22,-0.41
0.2,1.625,2.4000000000000004,-0.88,0.22,-0.41
0.2,2.0,2.6,-0.88,0.22,-0.41
0.0,1.2,2.6,0.87,-0.22,0.44
0.0,1.6,2.8000000000000003,0.87,-0.22,0.44
0.2,2.0,2.6,0.87,-0.22,0.44
0.0,1.6,2.8000000000000003,-0.91,0.35,-0.22
0.2,2.0,2.6,-0.91,0.35,-0.22
0.2,2.125,2.8000000000000003,-0.91,0.35,-0.22
0.0,1.6,2.8000000000000003,0.93,-0.36,0.0
0.0,1.6,3.0,0.93,-0.36,0.0
0.2,2.125,2.8000000000000003,0.93,-0.36,0.0
0.0,1.6,3.0,-0.65,0.47,0.59
0.2,2.125,2.8000000000000003,-0.65,0.47,0.59
0.2,1.875,3.0,-0.65,0.47,0.59
0.0,1.6,3.0,0.52,-0.38,0.76
0.0,2.0,3.2,0.52,-0.38,0.76
0.2,1.875,3.0,0.52,-0.38,0.76
0.0,2.0,3.2,0.73,0.58,0.36
0.2,1.875,3.0,0.73,0.58,0.36
0.2,1.75,3.2,0.73,0.58,0.36
0.0,2.0,3.2,-0.37,-0.29,-0.88
0.0,1.4,3.4000000000000004,-0.37,-0.29,-0.88
0.2,1.75,3.2,-0.37,-0.29,-0.88
0.0,1.4,3.4000000000000004,0.06,0.47,0.88
0.2,1.75,3.2,0.06,0.47,0.88
0.2,1.375,3.4000000000000004,0.06,0.47,0.88
0.0,1.4,3.4000000000000004,-0.12,-0.99,0.0
0.0,1.4,3.6,-0.12,-0.99,0.0
